"","Curso","Reprovações.1","Matrículas.1","Porcentagem.1","Reprovações.2","Matrículas.2","Porcentagem.2"
"1","ADMINISTRAÇÃO",119,2320,5.1,135,2618,5.2
"2","AGRONOMIA",119,845,14.1,131,925,14.2
"3","ARTE E MÍDIA",5,441,1.1,15,524,2.9
"4","CIÊNCIA DA COMPUTAÇÃO",256,1874,13.7,366,1991,18.4
"5","CIÊNCIAS",130,1145,11.4,142,1082,13.1
"6","CIÊNCIAS BIOLÓGICAS (LIC)",170,1230,13.8,147,1546,9.5
"7","CIÊNCIAS CONTÁBEIS",140,1537,9.1,123,1710,7.2
"8","CIÊNCIAS ECONÔMICAS",119,979,12.2,89,1013,8.8
"9","CIÊNCIAS SOCIAIS",34,951,3.6,58,1130,5.1
"10","DESENHO INDUSTRIAL",47,335,14,20,265,7.5
"11","DESIGN",52,586,8.9,45,765,5.9
"12","DIREITO",21,3781,0.6,12,3933,0.3
"13","ENFERMAGEM",102,2660,3.8,117,3369,3.5
"14","ENG. DE BIOTECNOLOGIA E BIOPROCESSOS",0,0,0,38,301,12.6
"15","ENGENHARIA AGRÍCOLA",128,650,19.7,110,568,19.4
"16","ENGENHARIA AMBIENTAL",88,710,12.4,121,729,16.6
"17","ENGENHARIA CIVIL",292,2075,14.1,274,1987,13.8
"18","ENGENHARIA DE ALIMENTOS",212,956,22.2,202,908,22.2
"19","ENGENHARIA DE BIOSSISTEMAS",0,0,0,63,271,23.2
"20","ENGENHARIA DE MATERIAIS",181,988,18.3,161,933,17.3
"21","ENGENHARIA DE MINAS",153,587,26.1,101,534,18.9
"22","ENGENHARIA DE PETRÓLEO",58,259,22.4,39,219,17.8
"23","ENGENHARIA DE PRODUÇÃO",95,860,11,99,1037,9.5
"24","ENGENHARIA ELÉTRICA",517,3544,14.6,556,3673,15.1
"25","ENGENHARIA FLORESTAL",88,816,10.8,50,707,7.1
"26","ENGENHARIA MECÂNICA",238,1427,16.7,298,1503,19.8
"27","ENGENHARIA QUÍMICA",96,1058,9.1,124,895,13.9
"28","FARMÁCIA",137,953,14.4,105,1184,8.9
"29","FILOSOFIA",49,130,37.7,34,113,30.1
"30","FÍSICA",98,382,25.7,87,445,19.6
"31","GEOGRAFIA",146,1198,12.2,58,1226,4.7
"32","HISTÓRIA",191,2331,8.2,192,2402,8
"33","INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)",0,0,0,0,320,0
"34","LETRAS",104,2644,3.9,90,2626,3.4
"35","LICENCIATURA INTERCULTURAL INDÍGENA",0,0,0,0,286,0
"36","MATEMÁTICA",190,892,21.3,163,837,19.5
"37","MEDICINA",9,3148,0.3,7,3318,0.2
"38","MEDICINA VETERINÁRIA",165,2006,8.2,189,1990,9.5
"39","METEOROLOGIA",85,278,30.6,63,226,27.9
"40","MÚSICA",0,0,0,6,161,3.7
"41","NUTRIÇÃO",39,227,17.2,89,446,20
"42","ODONTOLOGIA",2,265,0.8,13,512,2.5
"43","PEDAGOGIA",168,2272,7.4,88,2203,4
"44","QUÍMICA (LIC)",80,492,16.3,98,626,15.7
