Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2
ADMINISTRAÇÃO;62;1750;3.5;96;1923;5
ARTE E MÍDIA;8;460;1.7;27;553;4.9
CIÊNCIA DA COMPUTAÇÃO;114;1402;8.1;177;1438;12.3
CIÊNCIAS;106;875;12.1;102;970;10.5
CIÊNCIAS CONTÁBEIS;0;0;NaN;23;169;13.6
CIÊNCIAS ECONÔMICAS;51;966;5.3;117;1093;10.7
CIÊNCIAS SOCIAIS;18;616;2.9;15;659;2.3
DESENHO INDUSTRIAL;21;804;2.6;48;829;5.8
DESIGN;1;26;3.8;3;63;4.8
DIREITO;5;3347;0.1;11;3069;0.4
ENGENHARIA AGRÍCOLA;73;477;15.3;90;439;20.5
ENGENHARIA CIVIL;253;1967;12.9;332;1932;17.2
ENGENHARIA DE MATERIAIS;99;806;12.3;116;856;13.6
ENGENHARIA DE MINAS;53;366;14.5;55;345;15.9
ENGENHARIA ELÉTRICA;336;3054;11;362;3211;11.3
ENGENHARIA FLORESTAL;21;367;5.7;28;338;8.3
ENGENHARIA MECÂNICA;210;1219;17.2;281;1290;21.8
ENGENHARIA QUÍMICA;85;863;9.8;86;791;10.9
FÍSICA;27;156;17.3;27;162;16.7
GEOGRAFIA;33;1207;2.7;62;1403;4.4
HISTÓRIA;78;2404;3.2;167;2498;6.7
LETRAS;97;2348;4.1;108;2458;4.4
MATEMÁTICA;80;503;15.9;78;487;16
MEDICINA;16;2194;0.7;2;2196;0.1
MEDICINA VETERINÁRIA;149;1909;7.8;68;1856;3.7
METEOROLOGIA;27;238;11.3;41;207;19.8
PEDAGOGIA;49;2066;2.4;111;2097;5.3
TECNOLOGIA QUÍMICA (COUROS E TANANTES);2;11;18.2;0;0;NaN
