Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2
ADMINISTRAÇÃO;124;2338;5.3;205;2286;9
AGRONOMIA;171;1290;13.3;172;1316;13.1
ARQUITETURA E URBANISMO;18;825;2.2;46;848;5.4
ARTE E MÍDIA;43;435;9.9;21;546;3.8
CIÊNCIA DA COMPUTAÇÃO;418;3034;13.8;425;3137;13.5
CIÊNCIAS BIOLÓGICAS;313;3035;10.3;178;2510;7.1
CIÊNCIAS CONTÁBEIS;47;713;6.6;65;986;6.6
CIÊNCIAS ECONÔMICAS;71;674;10.5;73;613;11.9
CIÊNCIAS SOCIAIS;58;924;6.3;47;867;5.4
COMUNICAÇÃO SOCIAL;18;692;2.6;40;832;4.8
DESIGN;67;784;8.5;69;786;8.8
DIREITO;17;5344;0.3;23;5206;0.4
ENFERMAGEM;127;3434;3.7;130;3439;3.8
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;73;621;11.8;74;540;13.7
ENGENHARIA AGRÍCOLA;115;642;17.9;80;473;16.9
ENGENHARIA AMBIENTAL;158;1178;13.4;181;1138;15.9
ENGENHARIA CIVIL;324;4139;7.8;426;4273;10
ENGENHARIA DE ALIMENTOS;234;1573;14.9;201;1358;14.8
ENGENHARIA DE BIOSSISTEMAS;98;581;16.9;50;475;10.5
ENGENHARIA DE MATERIAIS;162;843;19.2;84;665;12.6
ENGENHARIA DE MINAS;159;824;19.3;115;647;17.8
ENGENHARIA DE PETRÓLEO;159;746;21.3;104;590;17.6
ENGENHARIA DE PRODUÇÃO;191;1827;10.5;126;1604;7.9
ENGENHARIA ELÉTRICA;754;4933;15.3;865;4765;18.2
ENGENHARIA FLORESTAL;65;745;8.7;37;608;6.1
ENGENHARIA MECÂNICA;323;1621;19.9;244;1528;16
ENGENHARIA QUÍMICA;152;1306;11.6;108;1064;10.2
ESTATÍSTICA;42;153;27.5;30;106;28.3
FARMÁCIA;123;2165;5.7;150;2200;6.8
FILOSOFIA;56;265;21.1;21;184;11.4
FÍSICA;210;1138;18.5;186;915;20.3
GEOGRAFIA;143;1892;7.6;86;1813;4.7
HISTÓRIA;112;2134;5.2;133;2058;6.5
INTERDISCIPLINAR EM EDUC. DO CAMPO;22;462;4.8;21;390;5.4
LETRAS;112;2409;4.6;115;2309;5
MATEMÁTICA;366;1576;23.2;225;1367;16.5
MEDICINA;30;3074;1;33;3124;1.1
MEDICINA VETERINÁRIA;182;2348;7.8;156;2166;7.2
METEOROLOGIA;60;214;28;53;134;39.6
MÚSICA;11;507;2.2;29;504;5.8
NUTRIÇÃO;69;1667;4.1;105;1710;6.1
ODONTOLOGIA;28;2021;1.4;38;1933;2
PEDAGOGIA;64;2173;2.9;52;2341;2.2
PSICOLOGIA;17;1376;1.2;16;1409;1.1
QUÍMICA;199;1269;15.7;171;979;17.5
SERVIÇO SOCIAL;13;834;1.6;30;659;4.6
TECNOLOGIA EM AGROECOLOGIA;33;416;7.9;21;284;7.4
TECNOLOGIA EM GESTÃO PÚBLICA;43;548;7.8;36;426;8.5
