Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2
ADMINISTRAÇÃO;219;3116;7;212;3054;6.9
AGRONOMIA;202;1359;14.9;190;1379;13.8
ARQUITETURA E URBANISMO;17;437;3.9;61;687;8.9
ARTE E MÍDIA;13;510;2.5;15;570;2.6
CIÊNCIA DA COMPUTAÇÃO;530;2519;21;488;2309;21.1
CIÊNCIAS;45;715;6.3;41;570;7.2
CIÊNCIAS BIOLÓGICAS;274;3120;8.8;259;3033;8.5
CIÊNCIAS CONTÁBEIS;80;1042;7.7;65;974;6.7
CIÊNCIAS ECONÔMICAS;123;1064;11.6;128;1044;12.3
CIÊNCIAS SOCIAIS;184;1486;12.4;80;1399;5.7
COMUNICAÇÃO SOCIAL;35;595;5.9;19;854;2.2
DESIGN;93;1085;8.6;80;1040;7.7
DIREITO;43;4048;1.1;8;3934;0.2
ENFERMAGEM;225;5568;4;181;5472;3.3
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;92;675;13.6;72;663;10.9
ENGENHARIA AGRÍCOLA;123;801;15.4;97;715;13.6
ENGENHARIA AMBIENTAL;213;1237;17.2;218;1328;16.4
ENGENHARIA CIVIL;271;2474;11;244;2566;9.5
ENGENHARIA DE ALIMENTOS;324;1664;19.5;222;1551;14.3
ENGENHARIA DE BIOSSISTEMAS;155;624;24.8;74;514;14.4
ENGENHARIA DE MATERIAIS;261;1212;21.5;178;1022;17.4
ENGENHARIA DE MINAS;157;820;19.1;105;781;13.4
ENGENHARIA DE PETRÓLEO;139;889;15.6;94;882;10.7
ENGENHARIA DE PRODUÇÃO;231;1628;14.2;148;1426;10.4
ENGENHARIA ELÉTRICA;666;4679;14.2;734;4562;16.1
ENGENHARIA FLORESTAL;84;994;8.5;53;881;6
ENGENHARIA MECÂNICA;304;1805;16.8;305;1765;17.3
ENGENHARIA QUÍMICA;91;1166;7.8;104;1054;9.9
ESTATÍSTICA;43;155;27.7;28;119;23.5
FARMÁCIA;128;2258;5.7;130;2297;5.7
FILOSOFIA;58;288;20.1;66;229;28.8
FÍSICA;218;733;29.7;125;566;22.1
GEOGRAFIA;125;2214;5.6;81;2178;3.7
HISTÓRIA;191;2634;7.3;171;2325;7.4
INTERDISCIPLINAR EM EDUC. DO CAMPO;69;845;8.2;30;689;4.4
LETRAS;181;2650;6.8;103;2477;4.2
LICENCIATURA INTERCULTURAL INDÍGENA;2;197;1;0;0;NaN
MATEMÁTICA;327;1430;22.9;144;1105;13
MEDICINA;47;4296;1.1;15;3786;0.4
MEDICINA VETERINÁRIA;131;2465;5.3;133;2394;5.6
METEOROLOGIA;73;195;37.4;43;151;28.5
MÚSICA;18;468;3.8;11;555;2
NUTRIÇÃO;71;1698;4.2;84;1917;4.4
ODONTOLOGIA;74;1418;5.2;91;1643;5.5
PEDAGOGIA;135;2780;4.9;82;2677;3.1
PSICOLOGIA;29;888;3.3;12;986;1.2
QUÍMICA;142;1081;13.1;151;918;16.4
SERVIÇO SOCIAL;14;677;2.1;8;684;1.2
TECNOLOGIA EM AGROECOLOGIA;23;657;3.5;49;622;7.9
TECNOLOGIA EM GESTÃO PÚBLICA;98;624;15.7;18;455;4
