Curso;Matrículas.09;Reprovações.09;Percentual.09
ADMINISTRAÇÃO;4938;254;5.1
AGRONOMIA;1770;250;14.1
ARTE E MÍDIA;965;20;2.1
CIÊNCIA DA COMPUTAÇÃO;3865;622;16.1
CIÊNCIAS;2227;272;12.2
CIÊNCIAS BIOLÓGICAS;2776;317;11.4
CIÊNCIAS CONTÁBEIS;3247;263;8.1
CIÊNCIAS ECONÔMICAS;1992;208;10.4
CIÊNCIAS SOCIAIS;2081;92;4.4
DESENHO INDUSTRIAL;600;67;11.2
DESIGN;1351;97;7.2
DIREITO;7714;33;0.4
ENFERMAGEM;6029;219;3.6
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;301;38;12.6
ENGENHARIA AGRÍCOLA;1218;238;19.5
ENGENHARIA AMBIENTAL;1439;209;14.5
ENGENHARIA CIVIL;4062;566;13.9
ENGENHARIA DE ALIMENTOS;1864;414;22.2
ENGENHARIA DE BIOSSISTEMAS;271;63;23.2
ENGENHARIA DE MATERIAIS;1921;342;17.8
ENGENHARIA DE MINAS;1121;254;22.7
ENGENHARIA DE PETRÓLEO;478;97;20.3
ENGENHARIA DE PRODUÇÃO;1897;194;10.2
ENGENHARIA ELÉTRICA;7217;1073;14.9
ENGENHARIA FLORESTAL;1523;138;9.1
ENGENHARIA MECÂNICA;2930;536;18.3
ENGENHARIA QUÍMICA;1953;220;11.3
FARMÁCIA;2137;242;11.3
FILOSOFIA;243;83;34.2
FÍSICA;827;185;22.4
GEOGRAFIA;2424;204;8.4
HISTÓRIA;4733;383;8.1
INTERDISCIPLINAR EM EDUC. DO CAMPO;320;0;0
LETRAS;5270;194;3.7
LICENCIATURA INTERCULTURAL INDÍGENA;286;0;0
MATEMÁTICA;1729;353;20.4
MEDICINA;6466;16;0.2
MEDICINA VETERINÁRIA;3996;354;8.9
METEOROLOGIA;504;148;29.4
MÚSICA;161;6;3.7
NUTRIÇÃO;673;128;19
ODONTOLOGIA;777;15;1.9
PEDAGOGIA;4475;256;5.7
QUÍMICA;1118;178;15.9
