Curso;Matrículas;Reprovações;Percentual
ADMINISTRAÇÃO;4715;309;6.6
AGRONOMIA;2647;362;13.7
ARQUITETURA E URBANISMO;1577;76;4.8
ARTE E MÍDIA;974;55;5.6
CIÊNCIA DA COMPUTAÇÃO;6168;654;10.6
CIÊNCIAS BIOLÓGICAS;5408;610;11.3
CIÊNCIAS CONTÁBEIS;1840;151;8.2
CIÊNCIAS ECONÔMICAS;1424;146;10.3
CIÊNCIAS SOCIAIS;1925;114;5.9
COMUNICAÇÃO SOCIAL;1580;47;3
DESIGN;1461;98;6.7
DIREITO;10565;79;0.7
ENFERMAGEM;6995;181;2.6
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1237;150;12.1
ENGENHARIA AGRÍCOLA;1046;159;15.2
ENGENHARIA AMBIENTAL;2192;344;15.7
ENGENHARIA CIVIL;8646;886;10.2
ENGENHARIA DE ALIMENTOS;2708;499;18.4
ENGENHARIA DE BIOSSISTEMAS;1107;182;16.4
ENGENHARIA DE MATERIAIS;1403;233;16.6
ENGENHARIA DE MINAS;1128;194;17.2
ENGENHARIA DE PETRÓLEO;1137;190;16.7
ENGENHARIA DE PRODUÇÃO;3451;296;8.6
ENGENHARIA ELÉTRICA;9049;1439;15.9
ENGENHARIA FLORESTAL;1346;101;7.5
ENGENHARIA MECÂNICA;3067;495;16.1
ENGENHARIA QUÍMICA;2230;269;12.1
ESTATÍSTICA;292;91;31.2
FARMÁCIA;4784;195;4.1
FILOSOFIA;460;79;17.2
FÍSICA;2126;314;14.8
GEOGRAFIA;3774;260;6.9
HISTÓRIA;4476;241;5.4
INTERDISCIPLINAR EM EDUC. DO CAMPO;1183;42;3.6
LETRAS;5132;242;4.7
MATEMÁTICA;3073;543;17.7
MEDICINA;6634;69;1
MEDICINA VETERINÁRIA;4582;324;7.1
METEOROLOGIA;345;99;28.7
MÚSICA;957;32;3.3
NUTRIÇÃO;3718;154;4.1
ODONTOLOGIA;4121;67;1.6
PEDAGOGIA;4678;61;1.3
PSICOLOGIA;3278;65;2
QUÍMICA;2300;258;11.2
SERVIÇO SOCIAL;1399;42;3
TECNOLOGIA EM AGROECOLOGIA;904;44;4.9
TECNOLOGIA EM GESTÃO PÚBLICA;948;84;8.9
