Curso;Matrículas;Reprovações;Percentual;Ano
ADMINISTRAÇÃO;4709;450;9.6;2019
AGRONOMIA;2740;341;12.4;2019
ARQUITETURA E URBANISMO;1599;64;4;2019
ARTE E MÍDIA;957;86;9;2019
CIÊNCIA DA COMPUTAÇÃO;6560;690;10.5;2019
CIÊNCIAS BIOLÓGICAS;5610;486;8.7;2019
CIÊNCIAS CONTÁBEIS;1800;237;13.2;2019
CIÊNCIAS ECONÔMICAS;1522;164;10.8;2019
CIÊNCIAS SOCIAIS;2133;162;7.6;2019
COMUNICAÇÃO SOCIAL;1758;43;2.4;2019
DESIGN;1537;62;4;2019
DIREITO;10640;80;0.8;2019
ENFERMAGEM;8053;265;3.3;2019
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1237;202;16.3;2019
ENGENHARIA AGRÍCOLA;1120;191;17.1;2019
ENGENHARIA AMBIENTAL;1847;334;18.1;2019
ENGENHARIA CIVIL;8611;923;10.7;2019
ENGENHARIA DE ALIMENTOS;2448;537;21.9;2019
ENGENHARIA DE BIOSSISTEMAS;957;158;16.5;2019
ENGENHARIA DE MATERIAIS;1274;232;18.2;2019
ENGENHARIA DE MINAS;999;234;23.4;2019
ENGENHARIA DE PETRÓLEO;1073;256;23.9;2019
ENGENHARIA DE PRODUÇÃO;3280;334;10.2;2019
ENGENHARIA ELÉTRICA;9054;1544;17.1;2019
ENGENHARIA FLORESTAL;1238;122;9.9;2019
ENGENHARIA MECÂNICA;2907;518;17.8;2019
ENGENHARIA QUÍMICA;1984;281;14.2;2019
ESTATÍSTICA;411;96;23.4;2019
FARMÁCIA;4887;207;4.2;2019
FILOSOFIA;471;93;19.7;2019
FÍSICA;2323;431;18.6;2019
GEOGRAFIA;4018;252;6.3;2019
HISTÓRIA;4689;255;5.4;2019
INTERDISCIPLINAR EM EDUC. DO CAMPO;1415;30;2.1;2019
LETRAS;5918;229;3.9;2019
MATEMÁTICA;3215;511;15.9;2019
MEDICINA;6874;118;1.7;2019
MEDICINA VETERINÁRIA;5488;269;4.9;2019
METEOROLOGIA;396;101;25.5;2019
MÚSICA;1024;70;6.8;2019
NUTRIÇÃO;4034;132;3.3;2019
ODONTOLOGIA;4119;116;2.8;2019
PEDAGOGIA;4890;118;2.4;2019
PSICOLOGIA;3594;55;1.5;2019
QUÍMICA;2429;341;14;2019
SERVIÇO SOCIAL;1371;36;2.6;2019
TECNOLOGIA EM AGROECOLOGIA;1226;62;5.1;2019
TECNOLOGIA EM GESTÃO PÚBLICA;934;70;7.5;2019
