Curso;Matrículas;Reprovações;Percentual;Ano
ADMINISTRAÇÃO;5494;374;6.8;2010
AGRONOMIA;2219;316;14.2;2010
ARQUITETURA E URBANISMO;269;19;7.1;2010
ARTE E MÍDIA;1024;10;1;2010
CIÊNCIA DA COMPUTAÇÃO;4371;732;16.7;2010
CIÊNCIAS;2272;310;13.6;2010
CIÊNCIAS BIOLÓGICAS;4071;388;9.5;2010
CIÊNCIAS CONTÁBEIS;2752;206;7.5;2010
CIÊNCIAS ECONÔMICAS;2156;176;8.2;2010
CIÊNCIAS SOCIAIS;2497;115;4.6;2010
COMUNICAÇÃO SOCIAL;345;6;1.7;2010
DESENHO INDUSTRIAL;322;45;14;2010
DESIGN;1874;134;7.2;2010
DIREITO;7809;32;0.4;2010
ENFERMAGEM;9034;377;4.2;2010
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1009;201;19.9;2010
ENGENHARIA AGRÍCOLA;1272;220;17.3;2010
ENGENHARIA AMBIENTAL;1933;381;19.7;2010
ENGENHARIA CIVIL;4276;488;11.4;2010
ENGENHARIA DE ALIMENTOS;2523;696;27.6;2010
ENGENHARIA DE BIOSSISTEMAS;888;170;19.1;2010
ENGENHARIA DE MATERIAIS;2248;475;21.1;2010
ENGENHARIA DE MINAS;1248;193;15.5;2010
ENGENHARIA DE PETRÓLEO;897;165;18.4;2010
ENGENHARIA DE PRODUÇÃO;2802;377;13.5;2010
ENGENHARIA ELÉTRICA;8131;1153;14.2;2010
ENGENHARIA FLORESTAL;1928;187;9.7;2010
ENGENHARIA MECÂNICA;3162;489;15.5;2010
ENGENHARIA QUÍMICA;2036;241;11.8;2010
ESTATÍSTICA;151;58;38.4;2010
FARMÁCIA;3416;227;6.6;2010
FILOSOFIA;358;73;20.4;2010
FÍSICA;1188;333;28;2010
GEOGRAFIA;3111;246;7.9;2010
HISTÓRIA;4959;440;8.9;2010
INTERDISCIPLINAR EM EDUC. DO CAMPO;992;1;0.1;2010
LETRAS;5501;300;5.5;2010
LICENCIATURA INTERCULTURAL INDÍGENA;535;4;0.7;2010
MATEMÁTICA;2120;420;19.8;2010
MEDICINA;9037;10;0.1;2010
MEDICINA VETERINÁRIA;4247;282;6.6;2010
METEOROLOGIA;448;115;25.7;2010
MÚSICA;437;29;6.6;2010
NUTRIÇÃO;1517;100;6.6;2010
ODONTOLOGIA;2189;155;7.1;2010
PEDAGOGIA;4795;233;4.9;2010
PSICOLOGIA;562;8;1.4;2010
QUÍMICA;1416;221;15.6;2010
SERVIÇO SOCIAL;628;5;0.8;2010
TECNOLOGIA EM AGROECOLOGIA;646;38;5.9;2010
TECNOLOGIA EM GESTÃO PÚBLICA;513;7;1.4;2010
